Date&Time,Temperature(C),Huminity(%),,,,,
2022/6/14 15:07,24.6,72.9,,,,,
2022/6/14 15:12,24.2,63,,,,,
2022/6/14 15:17,24.6,70.8,,,,,
2022/6/14 15:22,24.5,70.1,,,,,
2022/6/14 15:27,24.8,69.6,,,,,
2022/6/14 15:32,25.1,69.6,,,,,
2022/6/14 15:37,25,69.5,,,,,
2022/6/14 15:42,25.1,69.9,,,,,
2022/6/14 15:47,25.2,70.1,,,,,
2022/6/14 15:52,25,70.6,,,,,
2022/6/14 15:57,25.1,68.7,,,,,
2022/6/14 16:02,25.1,69.7,,,,,
2022/6/14 16:07,25.4,69.1,,,,,
2022/6/14 16:12,25.4,69,,,,,
2022/6/14 16:17,25.2,69.1,,,,,
2022/6/14 16:22,25.3,69.3,,,,,
2022/6/14 16:27,25.2,69.2,,,,,
2022/6/14 16:32,25.2,69.4,,,,,
2022/6/14 16:37,25.3,69,,,,,
2022/6/14 16:42,25.3,69.1,,,,,
2022/6/14 16:47,25.3,69.2,,,,,
2022/6/14 16:52,25.1,69.3,,,,,
2022/6/14 16:57,25.2,68,,,,,
2022/6/14 17:02,24.7,68.7,,,,,
2022/6/14 17:07,25.1,68.5,,,,,
2022/6/14 17:12,25,68.3,,,,,
2022/6/14 17:17,25.1,68.2,,,,,
2022/6/14 17:22,25.1,68.3,,,,,
2022/6/14 17:27,25.1,68.2,,,,,
2022/6/14 17:32,25.3,68.3,,,,,
2022/6/14 17:37,25,68.4,,,,,
2022/6/14 17:42,25.3,68.5,,,,,
2022/6/14 17:47,25,68.8,,,,,
2022/6/14 17:52,24.7,65.4,,,,,
2022/6/14 17:57,24.8,68.2,,,,,
2022/6/14 18:02,24.8,68.3,,,,,
2022/6/14 18:07,24.9,68.8,,,,,
2022/6/14 18:12,24.8,69.2,,,,,
2022/6/14 18:17,24.8,68.8,,,,,
2022/6/14 18:22,24.6,68,,,,,
2022/6/14 18:27,24.6,68.8,,,,,
2022/6/14 18:31,24.7,68.9,,,,,
2022/6/14 18:36,24.3,68.5,,,,,
2022/6/14 18:41,24.4,70,,,,,
2022/6/14 18:46,23.8,70.4,,,,,
2022/6/14 18:51,23.9,71.3,,,,,
2022/6/14 18:56,24.3,70.3,,,,,
2022/6/14 19:01,24.2,71.2,,,,,
2022/6/14 19:06,24.1,71.9,,,,,
2022/6/14 19:11,24,72.3,,,,,
2022/6/14 19:16,24.1,71.3,,,,,
2022/6/14 19:21,23.9,70.7,,,,,
2022/6/14 19:26,23.8,70.2,,,,,
2022/6/14 19:31,23.7,69.7,,,,,
2022/6/14 19:36,23.7,69.1,,,,,
2022/6/14 19:41,23.5,68.8,,,,,
2022/6/14 19:46,23.4,68.2,,,,,
2022/6/14 19:51,23.4,67.6,,,,,
2022/6/14 19:56,23.5,67.2,,,,,
2022/6/14 20:01,23.4,66.9,,,,,
2022/6/14 20:06,23.5,66.7,,,,,
2022/6/14 20:11,23.4,65.8,,,,,
2022/6/14 20:16,23.3,66.4,,,,,
2022/6/14 20:21,23.3,65.9,,,,,
2022/6/14 20:26,23.4,65.3,,,,,
2022/6/14 20:31,23.3,65.2,,,,,
2022/6/14 20:36,23.4,65.5,,,,,
2022/6/14 20:41,23.4,65,,,,,
2022/6/14 20:46,23.4,65.1,,,,,
2022/6/14 20:51,23.3,64.9,,,,,
2022/6/14 20:56,23.4,65.1,,,,,
2022/6/14 21:01,23.3,65,,,,,
2022/6/15 10:40,25.3,72.8,,,,,
2022/6/15 10:45,25.4,72.8,,,,,
2022/6/15 10:50,25.4,72.8,,,,,
2022/6/15 10:55,25.4,72.8,,,,,
2022/6/15 11:00,25.4,72.7,,,,,
2022/6/15 11:05,25.5,72.6,,,,,
2022/6/15 11:10,25.4,72.7,,,,,
2022/6/15 11:15,25.4,72.6,,,,,
2022/6/15 11:20,25.5,72.8,,,,,
2022/6/15 11:25,25.4,72.8,,,,,
