Date&Time,Temperature(C),Huminity(%),Date,Time
2022/6/14 15:11,27.1,67.1,2022/6/14,15:11:00
2022/6/14 15:16,27.3,64.7,2022/6/14,15:16:00
2022/6/14 15:21,27,65.7,2022/6/14,15:21:00
2022/6/14 15:26,27,66.2,2022/6/14,15:26:00
2022/6/14 15:31,26.9,66.3,2022/6/14,15:31:00
2022/6/14 15:36,26.8,66.6,2022/6/14,15:36:00
2022/6/14 15:41,26.9,66.7,2022/6/14,15:41:00
2022/6/14 15:46,26.9,67,2022/6/14,15:46:00
2022/6/14 15:51,26.9,67.1,2022/6/14,15:51:00
2022/6/14 15:56,27.1,66.8,2022/6/14,15:56:00
2022/6/14 16:01,26.9,67.1,2022/6/14,16:01:00
2022/6/14 16:06,27,67.2,2022/6/14,16:06:00
2022/6/14 16:11,27,67.3,2022/6/14,16:11:00
2022/6/14 16:16,26.9,67,2022/6/14,16:16:00
2022/6/14 16:21,27.1,67.5,2022/6/14,16:21:00
2022/6/14 16:26,27.1,67.3,2022/6/14,16:26:00
2022/6/14 16:31,27,67.4,2022/6/14,16:31:00
2022/6/14 16:36,27,67.4,2022/6/14,16:36:00
2022/6/14 16:41,27.1,67.5,2022/6/14,16:41:00
2022/6/14 16:46,27,67.4,2022/6/14,16:46:00
2022/6/14 16:51,27.1,67.5,2022/6/14,16:51:00
2022/6/14 16:56,27.1,66.9,2022/6/14,16:56:00
2022/6/14 17:01,27.1,66.9,2022/6/14,17:01:00
2022/6/14 17:06,27.1,67.4,2022/6/14,17:06:00
2022/6/14 17:11,27.2,67.3,2022/6/14,17:11:00
2022/6/14 17:16,27.1,66.9,2022/6/14,17:16:00
2022/6/14 17:21,27.1,67.4,2022/6/14,17:21:00
2022/6/14 17:26,27.1,67.4,2022/6/14,17:26:00
2022/6/14 17:31,27.1,67.3,2022/6/14,17:31:00
2022/6/14 17:36,27.2,67,2022/6/14,17:36:00
2022/6/14 17:41,27.3,67.4,2022/6/14,17:41:00
2022/6/14 17:46,27.2,67.3,2022/6/14,17:46:00
2022/6/14 17:51,27.2,66.9,2022/6/14,17:51:00
2022/6/14 17:56,27.2,67.1,2022/6/14,17:56:00
2022/6/14 18:01,27.2,67,2022/6/14,18:01:00
2022/6/14 18:06,27.2,66.9,2022/6/14,18:06:00
2022/6/14 18:11,27.2,66.8,2022/6/14,18:11:00
2022/6/14 18:16,27.2,67.2,2022/6/14,18:16:00
2022/6/14 18:21,27.2,66.8,2022/6/14,18:21:00
2022/6/14 18:26,27.1,67.3,2022/6/14,18:26:00
2022/6/14 18:31,26.9,67.8,2022/6/14,18:31:00
2022/6/14 18:36,26.7,68.2,2022/6/14,18:36:00
2022/6/14 18:41,27.1,66.6,2022/6/14,18:41:00
2022/6/14 18:46,27.1,65.9,2022/6/14,18:46:00
2022/6/14 18:51,26.8,66.3,2022/6/14,18:51:00
2022/6/14 18:56,27,66.7,2022/6/14,18:56:00
2022/6/14 19:01,26.9,66.6,2022/6/14,19:01:00
2022/6/14 19:06,26.8,66.5,2022/6/14,19:06:00
2022/6/14 19:11,26.8,66.4,2022/6/14,19:11:00
2022/6/14 19:16,26.8,66.3,2022/6/14,19:16:00
2022/6/14 19:21,26.7,66,2022/6/14,19:21:00
2022/6/14 19:26,26.7,66,2022/6/14,19:26:00
2022/6/14 19:31,26.6,66.1,2022/6/14,19:31:00
2022/6/14 19:36,26.6,66,2022/6/14,19:36:00
2022/6/14 19:41,26.6,66,2022/6/14,19:41:00
2022/6/14 19:46,26.5,65.6,2022/6/14,19:46:00
2022/6/14 19:51,26.4,65.7,2022/6/14,19:51:00
2022/6/14 19:56,26.5,65.8,2022/6/14,19:56:00
2022/6/14 20:01,26.5,65.4,2022/6/14,20:01:00
2022/6/14 20:06,26.5,65.2,2022/6/14,20:06:00
2022/6/14 20:11,26.4,64.9,2022/6/14,20:11:00
2022/6/14 20:16,26.4,66,2022/6/14,20:16:00
2022/6/14 20:21,26.5,67.1,2022/6/14,20:21:00
2022/6/14 20:26,26.6,67.2,2022/6/14,20:26:00
2022/6/14 20:31,26.5,66.8,2022/6/14,20:31:00
2022/6/14 20:36,26.5,67.1,2022/6/14,20:36:00
2022/6/14 20:41,26.6,67.4,2022/6/14,20:41:00
2022/6/14 20:46,26.7,67.2,2022/6/14,20:46:00
2022/6/14 20:51,26.7,66.7,2022/6/14,20:51:00
2022/6/14 20:56,26.7,66.4,2022/6/14,20:56:00
2022/6/14 21:01,26.7,65.9,2022/6/14,21:01:00
2022/6/14 21:06,26.7,65.5,2022/6/14,21:06:00
2022/6/14 21:11,26.7,65.5,2022/6/14,21:11:00
2022/6/15 10:42,26.3,71,2022/6/15,10:42:00
2022/6/15 10:47,26.2,70.8,2022/6/15,10:47:00
2022/6/15 10:52,26.4,70.9,2022/6/15,10:52:00
2022/6/15 10:57,26.3,70.9,2022/6/15,10:57:00
2022/6/15 11:02,26.3,70.8,2022/6/15,11:02:00
2022/6/15 11:07,26.4,70.7,2022/6/15,11:07:00
