Date&Time,Temperature(C),Huminity(%),Date,Time
2022-06-27 09:33:33,28.7,53.6,2022-06-27,09:33:33
2022-06-27 09:38:33,29.0,52.3,2022-06-27,09:38:33
2022-06-27 09:43:33,29.1,52.6,2022-06-27,09:43:33
2022-06-27 09:48:33,29.2,52.2,2022-06-27,09:48:33
2022-06-27 09:53:33,29.2,50.5,2022-06-27,09:53:33
2022-06-27 09:58:33,29.1,49.4,2022-06-27,09:58:33
2022-06-27 10:03:33,29.1,51.0,2022-06-27,10:03:33
2022-06-27 10:08:33,29.3,51.4,2022-06-27,10:08:33
2022-06-27 10:13:33,29.2,49.8,2022-06-27,10:13:33
2022-06-27 10:18:33,29.2,49.9,2022-06-27,10:18:33
2022-06-27 10:23:33,29.3,51.1,2022-06-27,10:23:33
2022-06-27 10:28:33,29.3,50.2,2022-06-27,10:28:33
2022-06-27 10:33:33,29.3,49.8,2022-06-27,10:33:33
2022-06-27 10:38:33,29.4,50.3,2022-06-27,10:38:33
2022-06-27 10:43:33,29.4,50.0,2022-06-27,10:43:33
2022-06-27 10:48:33,29.5,51.2,2022-06-27,10:48:33
2022-06-27 10:53:33,29.6,51.0,2022-06-27,10:53:33
2022-06-27 10:58:33,29.7,52.2,2022-06-27,10:58:33
2022-06-27 11:03:33,29.8,51.4,2022-06-27,11:03:33
2022-06-27 11:08:33,29.7,50.1,2022-06-27,11:08:33
2022-06-27 11:13:33,29.7,48.8,2022-06-27,11:13:33
2022-06-27 11:18:33,29.6,49.5,2022-06-27,11:18:33
2022-06-27 11:23:33,29.6,49.5,2022-06-27,11:23:33
2022-06-27 11:28:33,29.6,49.0,2022-06-27,11:28:33
2022-06-27 11:33:33,29.6,48.6,2022-06-27,11:33:33
2022-06-27 11:38:33,29.6,49.9,2022-06-27,11:38:33
2022-06-27 11:43:33,29.8,49.8,2022-06-27,11:43:33
2022-06-27 11:48:33,29.9,50.1,2022-06-27,11:48:33
2022-06-27 11:53:33,30.0,53.7,2022-06-27,11:53:33
2022-06-27 11:58:33,30.0,50.8,2022-06-27,11:58:33
2022-06-27 12:03:33,29.9,50.5,2022-06-27,12:03:33
2022-06-27 12:08:33,30.0,54.4,2022-06-27,12:08:33
2022-06-27 12:13:33,30.3,54.4,2022-06-27,12:13:33
2022-06-27 12:18:33,30.2,55.0,2022-06-27,12:18:33
2022-06-27 12:23:33,30.4,56.0,2022-06-27,12:23:33
2022-06-27 12:28:33,30.3,54.7,2022-06-27,12:28:33
2022-06-27 12:33:33,30.1,54.7,2022-06-27,12:33:33
2022-06-27 12:38:33,30.0,54.4,2022-06-27,12:38:33
2022-06-27 12:43:33,29.9,54.1,2022-06-27,12:43:33
