Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.3125418365533932,-6.0285243262359728,-2.3208605592379856,-5.609059490647155,-1.0433104702218006 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.4818987472397312,-8.496235692584055,-2.9523448310989695,-7.696721344026514,-1.1173366451205645 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-1.6735995030483318,-10.973248046337089,-3.580523847561153,-9.79092619332647,-1.225777221887191 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.8795003478373356,-13.456639181853103,-4.221354799328424,-11.894073348687585,-1.359790513343356 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-1.924590709012345,-13.258737950213785,-4.27764175189003,-11.756905243919391,-1.4819370993524528 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.9864106704142187,-13.081294097714907,-4.2903631207607308,-11.60660915740965,-1.5731765070112116 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-2.031511821239501,-12.902578076784174,-4.299097823235968,-11.45590015174605,-1.6367700718612326 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-2.0650437541708315,-12.72390858245205,-4.291525906024162,-11.312271825180915,-1.6827330501069194 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.096968184023813,-12.600851843196912,-4.286442639779352,-11.180854015166858,-1.7202279819743909 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.1241084878724987,-12.479288120285096,-4.278986662484499,-11.050480713693844,-1.7541866566436606 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.15099615195975,-12.359441467568678,-4.26915116927529,-10.92036647649013,-1.786484529728327 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.1771246241277248,-12.241297645474412,-4.258829577478878,-10.790952553631258,-1.8176876012480603 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.206535173245622,-12.208517401049133,-4.288036968741324,-10.796632092126629,-1.8485570779365779 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.235606524512219,-12.177007181013725,-4.3151839543928649,-10.805932858436279,-1.879513967038712 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.264736336976762,-12.14723147315135,-4.341521119424328,-10.816080330825458,-1.9106007384085813 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.2939193388917524,-12.119056058245265,-4.36756610746653,-10.826257555946768,-1.941726281864689 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-2.31746406141268,-11.996573693304969,-4.362525505440317,-10.735555815466,-1.9719691549589438 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-2.3407514457253657,-11.874211075039387,-4.357518351152919,-10.637432063276038,-2.0008226855272559 
